输入商品名称,匹配的SPU,匹配的SKU,期望值
华为Nova15 12+256(PSN-AL00)演示机好搭紫,-,-,华为 nova 15 全网通 256GB 好搭紫
Watch5 RTS-AL00 46mm 木星棕 素皮复合表带棕色,Xiaomi Watch 5 智能手表,Xiaomi Watch 5 智能手表 金棕色真皮表带款,华为 WATCH 5 智能手表 46mm 钛合金 木星棕 素皮复合表带
Watch5 RTS-AL00 46mm 苍穹黑 氟橡胶表带黑色,Xiaomi Watch 5 智能手表,-,华为 WATCH 5 智能手表 46mm 不锈钢 苍穹黑 氟橡胶表带
华为Nova15 12+256(PSN-AL00)演示机零度白,-,-,华为 nova 15 全网通 256GB 零度白
Watch5 RTS-AL00 46mm 太空银 钛金属表带钛金属,Xiaomi Watch 5 智能手表,Xiaomi Watch 5 智能手表 金棕色真皮表带款,华为 WATCH 5 智能手表 46mm 钛合金 钛空银 钛金属表带
Watch5 SOC-AL00 42mm 幻月黑 氟橡胶表带黑色,Xiaomi Watch 5 智能手表,-,华为 WATCH 5 智能手表 42mm 不锈钢 幻月黑 氟橡胶表带
Watch5 SOC-AL00 42mm 星云杏 素皮复合表带杏色,Xiaomi Watch 5 智能手表,-,华为 WATCH 5 智能手表 42mm 904L不锈钢 星云杏 素皮复合表带
Watch5 SOC-AL00 42mm 金星白 素皮复合表带白色,Xiaomi Watch 5 智能手表,-,华为 WATCH 5 智能手表 42mm 不锈钢 金星白 素皮复合表带
Watch5 RTS-AL00 46mm 银河紫 素皮复合表带紫色,Xiaomi Watch 5 智能手表,-,华为 WATCH 5 智能手表 46mm 钛合金 银河紫 素皮复合表带
Watch5 SOC-AL00 42mm 极光绿 氟橡胶表带绿色,Xiaomi Watch 5 智能手表,Xiaomi Watch 5 智能手表 卡其绿氟胶表带款,华为 WATCH 5 智能手表 42mm 不锈钢 极光绿 氟橡胶表带
Watch5 RTS-AL00 46mm 星河蓝 素皮复合表带蓝色,Xiaomi Watch 5 智能手表,Xiaomi Watch 5 智能手表 柔雾蓝真皮表带款,华为 WATCH 5 智能手表 46mm 不锈钢 星河蓝 素皮复合表带
华为Nova15 12+256(PSN-AL00)演示机幻夜黑,-,-,华为 nova 15 全网通 256GB 幻夜黑
华为WatchGT6 46mm （ATM-B19）黑色氟橡胶表带雅丹黑,优诺严选 华为 Watch GT6高清钢化手表膜,-,华为 WATCH GT 6 智能手表 46mm 雅丹黑 氟橡胶表带
华为WatchGT6 41mm （KSU-B19）紫色氟橡胶表带流光紫,优诺严选 华为 Watch GT6高清钢化手表膜,-,华为 WATCH GT 6 智能手表 41mm 流光紫 氟橡胶表带
华为WatchGT6 41mm （KSU-B19）白色复合素皮表带浮光白,优诺严选 华为 Watch GT6高清钢化手表膜,-,华为 WATCH GT 6 智能手表 41mm 浮光白 复合素皮表带
华为WatchGT6Pro 46mm （ATM-B29）黑色氟橡胶表带曜石黑,-,-,华为 WATCH GT 6 Pro 智能手表 46mm 曜石黑 黑色氟橡胶表带
华为Nova15Ultra 昆仑玻璃12+256(SLY-AL00)演示机零度白,-,-,华为 nova 15 Ultra 全网通 256GB 昆仑玻璃 零度白
华为WatchGT6 41mm （KSU-B19）黑色氟橡胶表带魅影黑,优诺严选 华为 Watch GT6高清钢化手表膜,-,华为 WATCH GT 6 智能手表 41mm 魅影黑 氟橡胶表带
华为WatchGT6 46mm （ATM-B19）灰色复合素皮表带冰川灰,优诺严选 华为 Watch GT6高清钢化手表膜,-,华为 WATCH GT 6 智能手表 46mm 冰川灰 复合素皮表带
华为WatchGT6 46mm （ATM-B19）绿色复合素皮表带原野绿,优诺严选 华为 Watch GT6高清钢化手表膜,-,华为 WATCH GT 6 智能手表 46mm 原野绿 复合编织表带
华为WatchGT6Pro 46mm （ATM-B29）棕色复合编织表带琥珀棕,-,-,华为 WATCH GT 6 Pro 智能手表 46mm 琥珀棕 棕色复合编织表带
华为Nova15Ultra 昆仑玻璃12+256(SLY-AL00)演示机幻夜黑,-,-,华为 nova 15 Ultra 全网通 256GB 昆仑玻璃 幻夜黑
2024款华为MatePad Pro 11寸(XYAO-W00)12+512雅川青,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro （XYAO-W00）11英寸 2024款 WiFi版 12GB+512GB 雅川青
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)12+256流金,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款（MRO-W00/MRO-W10） 12.2英寸 柔光版 wifi版 12GB+256GB 流金
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)12+256宣白,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款（MRO-W00/MRO-W10） 12.2英寸 柔光版 wifi版 12GB+256GB 宣白
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)12+256砚黑,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款（MRO-W00/MRO-W10） 12.2英寸 柔光版 wifi版 12GB+256GB 砚黑
2024款华为MatePad Pro 12.2寸 (MRO-W00)12+512砚黑,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款 （MRO-W00）12.2英寸 wifi版 12GB+512GB 砚黑
2024款华为MatePad Pro 12.2寸 (MRO-W00)12+512宣白,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款 （MRO-W00）12.2英寸 wifi版 12GB+512GB 宣白
2024款华为MatePad Pro 12.2寸 (MRO-W00)12+512砚黒,檀木健发梳,-,华为平板 MatePad Pro 2024款 （MRO-W00）12.2英寸 wifi版 12GB+512GB 砚黑
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)12+512宣白,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款（MRO-W00/MRO-W10） 12.2英寸 柔光版 wifi版 12GB+512GB 宣白
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)12+512流金,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款（MRO-W00/MRO-W10） 12.2英寸 柔光版 wifi版 12GB+512GB 流金
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)16+1T砚黑,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款（MRO-W00/MRO-W10） 12.2英寸 柔光版 wifi版 16GB+1TB 砚黑
2024款华为MatePad Pro 12.2寸柔光版(MRO-W00)16+1T流金,品牌 华为 MatePad Pro 11英寸 钢化保护膜,-,华为平板 MatePad Pro 2024款（MRO-W00/MRO-W10） 12.2英寸 柔光版 wifi版 16GB+1TB 流金
2024款华为MatePad SE 11英寸 (AGS6-W00)8+256星海蓝,华为平板 MatePad SE （AGS6-W00）11英寸,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+256GB 星海蓝,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+256GB 星海蓝
2024款华为MatePad SE 11英寸 (AGS6-W00)8+256星云灰,华为平板 MatePad SE （AGS6-W00）11英寸,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+256GB 星海蓝,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+256GB 星云灰
2024款华为MatePad SE 11英寸 (AGS6-W00)8+128星云灰,华为平板 MatePad SE （AGS6-W00）11英寸,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+128GB 星海蓝,华为平板 MatePad SE （AGS6-W00）11英寸 WIFI版 8GB+128GB 星云灰
2024款华为MatePad 11.5柔光版(BTKR-W00)8+256深空灰,-,-,华为平板 MatePad 2024款 柔光版（BTKR-W00）11.5英寸 WiFi版 8GB+256GB 深空灰
2024款华为MatePad 11.5(BTKR-W00)8+256深空灰,-,-,华为平板 MatePad 2024款（BTKR-W00）11.5英寸 WiFi版 8GB+256GB 深空灰
2024款华为MatePad 11.5柔光版(BTKR-W00)8+128海岛蓝,-,-,华为平板 MatePad 2024款 柔光版（BTKR-W00）11.5英寸 WiFi版 8GB+128GB 海岛蓝
2024款华为MatePad 11.5柔光版(BTKR-W00)8+128冰霜银,-,-,华为平板 MatePad 2024款 柔光版（BTKR-W00）11.5英寸 WiFi版 8GB+128GB 冰霜银
2024款华为MatePad 11.5柔光版(BTKR-W00)8+128深空灰,-,-,华为平板 MatePad 2024款 柔光版（BTKR-W00）11.5英寸 WiFi版 8GB+128GB 深空灰
2024款华为MatePad 11.5S柔光版(TGR-W10)12+256手写笔套装版深空灰,-,-,华为平板 MatePad 2024款（TGR-W10）11.5S 柔光版 WIFI版 12GB+256GB 套装版 深空灰
2023款华为MatePad 11.5柔光版(BTK-W00)8+128冰霜银,-,-,华为平板 MatePad 2023款 柔光版（BTK-W00） 11.5英寸 WIFI版本 8GB+128GB 冰霜银
2023款华为MatePad 11.5柔光版(BTK-W00)8+128海岛蓝,-,-,华为平板 MatePad 2023款 柔光版（BTK-W00） 11.5英寸 WIFI版本 8GB+128GB 海岛蓝
2025款华为MatePad Pro13.2(WEB-W00)12+512宣白,-,-,华为平板 MatePad Pro 2025款13.2英寸 标准版 WiFi版 12GB+512GB 宣白
2025款华为MatePadAir鸿蒙 柔光版(LRT-W30)12+256羽砂白,-,-,华为平板 MatePad Air（ LRT -W30） 2025款 12英寸 柔光版 WIFI版 12GB+256GB 羽砂白
2025款华为MatePadAir鸿蒙 柔光版(LRT-W30)12+256樱语粉,-,-,华为平板 MatePad Air（ LRT -W30） 2025款 12英寸 柔光版 WIFI版 12GB+256GB 樱语粉
2025款华为MatePadAir鸿蒙 柔光版(LRT-W30)12+256羽纱白,-,-,华为平板 MatePad Air（ LRT -W30） 2025款 12英寸 柔光版 WIFI版 12GB+256GB 羽砂白
2025款华为MatePadAir鸿蒙 柔光版(LRT-W30)12+256草木绿,-,-,华为平板 MatePad Air（ LRT -W30） 2025款 12英寸 柔光版 WIFI版 12GB+256GB 草木绿
2025款华为MatePadAir鸿蒙 柔光版(LRT-W30)12+256烟云灰,-,-,华为平板 MatePad Air（ LRT -W30） 2025款 12英寸 柔光版 WIFI版 12GB+256GB 烟云灰
2025款华为MatePadAir鸿蒙 (LRT-W20)12+256烟云灰,-,-,华为平板 MatePad Air（ LRT -W20） 2025款 12英寸 WIFI版 12GB+256GB 烟云灰
2025款华为MatePadAir鸿蒙 (LRT-W20)12+512羽砂白,-,-,华为平板 MatePad Air（ LRT -W20） 2025款 12英寸 WIFI版 12GB+512GB) 羽砂白
2025款华为MatePadAir鸿蒙 (LRT-W20)12+512烟云灰,-,-,华为平板 MatePad Air（ LRT -W20） 2025款 12英寸 WIFI版 12GB+512GB) 烟云灰
2025款华为MatePadAir鸿蒙 柔光版(LRT-W30)12+512羽砂白,-,-,华为平板 MatePad Air（ LRT -W30） 2025款 12英寸 柔光版 WIFI版 12GB+512GB 羽砂白
2025款华为MatePadAir鸿蒙 柔光版(LRT-W30)12+512烟云灰,-,-,华为平板 MatePad Air（ LRT -W30） 2025款 12英寸 柔光版 WIFI版 12GB+512GB 烟云灰
2025款华为matepad鸿蒙 柔光板 11.5S (SLG-W10）12+256原野绿,-,-,华为平板 MatePad 2025款 11.5S（SLG-W10） 柔光版 WIFI版 12GB+256GB 原野绿
2025款华为matepad鸿蒙 柔光板 11.5S (SLG-W10）12+256深空灰,-,-,华为平板 MatePad 2025款 11.5S（SLG-W10） 柔光版 WIFI版 12GB+256GB 深空灰
2025款华为matepad鸿蒙 柔光板 11.5S (SLG-W10）12+256羽砂紫,-,-,华为平板 MatePad 2025款 11.5S（SLG-W10） 柔光版 WIFI版 12GB+256GB 羽砂紫
2025款华为matepad鸿蒙 柔光板 11.5S (SLG-W10）12+256冰霜银,-,-,华为平板 MatePad 2025款 11.5S（SLG-W10） 柔光版 WIFI版 12GB+256GB 冰霜银
2025款华为matepad鸿蒙 柔光板 11.5S (SLG-W10）12+512深空灰,-,-,华为平板 MatePad 2025款 11.5S（SLG-W10） 柔光版 WIFI版 12GB+512GB 深空灰
2025款华为matepad Mini鸿蒙(MLR-AL10）12+512云杉绿,-,-,华为平板 MatePad Mini（MLR-AL10） 8.8英寸 全网通 12GB+512GB 云杉绿
2025款华为matepad Mini鸿蒙(MLR-AL10）12+512雪域白,-,-,华为平板 MatePad Mini（MLR-AL10） 8.8英寸 全网通 12GB+512GB 雪域白
2025款华为matepad Mini鸿蒙(MLR-AL10）12+256曜石黑,-,-,华为平板 MatePad Mini（MLR-AL10） 8.8英寸 全网通 12GB+256GB 曜石黑
2025款华为matepad Mini鸿蒙(MLR-AL10）12+256雪域白,-,-,华为平板 MatePad Mini（MLR-AL10） 8.8英寸 全网通 12GB+256GB 雪域白
2025款华为matepad Mini悦读版鸿蒙(MLR-AL00）12+256雪域白,-,-,华为平板 MatePad Mini（MLR-AL00） 8.8英寸 悦读版 全网通 12GB+256GB 雪域白
2025款华为matepad Mini悦读版鸿蒙(MLR-AL00）12+256曜石黑,-,-,华为平板 MatePad Mini（MLR-AL00） 8.8英寸 悦读版 全网通 12GB+256GB 曜石黑
2025款华为matepad Mini悦读版鸿蒙柔光版(MLR-AL00）12+256雪域白,-,-,华为平板 MatePad Mini（MLR-AL00） 8.8英寸 悦读版 全网通 12GB+256GB云晰柔光屏 雪域白
2025款华为matepad Mini悦读版鸿蒙柔光版(MLR-AL00）12+256曜石黑,-,-,华为平板 MatePad Mini（MLR-AL00） 8.8英寸 悦读版 全网通 12GB+256GB云晰柔光屏 曜石黑
2025款华为MatePad鸿蒙 11.5S 活力版(SLG-W10)8+256深空灰,-,-,华为平板 MatePad 2025款 11.5S （SLG-W10）活力版 WIFI版 8GB+256GB 深空灰
2025款华为MatePad鸿蒙 11.5S 活力版(SLG-W10)12+256冰霜银,-,-,华为平板 MatePad 2025款 11.5S （SLG-W10）活力版 WIFI版 12GB+256GB 冰霜银
2025款华为MatePad鸿蒙 11.5S 活力版(SLG-W10)12+256深空灰,-,-,华为平板 MatePad 2025款 11.5S （SLG-W10）活力版 WIFI版 12GB+256GB 深空灰
2025款华为MatePad鸿蒙 11.5S 活力版(SLG-W10)12+256羽砂紫,-,-,华为平板 MatePad 2025款 11.5S （SLG-W10）活力版 WIFI版 12GB+256GB 羽砂紫
华为Nova15Ultra 昆仑玻璃12+256(SLY-AL00)演示机带感绿,-,-,华为 nova 15 Ultra 全网通 256GB 昆仑玻璃 带感绿
苹果17（A3521)256G白色,-,-,iPhone 17 全网通5G 256GB 白色
OPPO A5x 5G(6+128)水晶粉,OPPO A5x,OPPO A5x 全网通5G版 6GB+128GB 水晶粉,OPPO A5x 全网通5G版 6GB+128GB 水晶粉
OPPO A5x 5G(8+256)玄武黑,OPPO A5x,OPPO A5x 全网通5G版 8GB+256GB 玄武黑,OPPO A5x 全网通5G版 8GB+256GB 玄武黑
OPPO Reno15c 12＋256极光蓝,-,-,OPPO Reno 15c 全网通5G版 12GB+256GB 极光蓝
OPPO Reno15c 12＋256星光蝴蝶结,-,-,OPPO Reno 15c 全网通5G版 12GB+256GB 星光蝴蝶结
OPPO Reno15c 12＋256学院蓝,-,-,OPPO Reno 15c 全网通5G版 12GB+256GB 学院蓝
2025款华为MatePad Pro12.2鸿蒙(MRDI-W00)12G+256G飞天青,-,-,华为平板 MatePad Pro 2025款（MRDI-W00） 12.2英寸 WIFI版 12GB+256GB 飞天青
2025款华为MatePad Pro12.2鸿蒙(MRDI-W00)12G+256G砚黑,-,-,华为平板 MatePad Pro 2025款（MRDI-W00） 12.2英寸 WIFI版 12GB+256GB 砚黑
2025款华为MatePad Pro12.2鸿蒙(MRDI-W00)12G+512G宣白,-,-,华为平板 MatePad Pro 2025款（MRDI-W00） 12.2英寸 WIFI版 12GB+512GB 宣白
2025款华为MatePad Pro12.2鸿蒙(MRDI-W00)12G+512G砚黑,-,-,华为平板 MatePad Pro 2025款（MRDI-W00） 12.2英寸 WIFI版 12GB+512GB 砚黑
2025款华为MatePad Pro12.2鸿蒙(MRDI-W00)12G+512G飞天青,-,-,华为平板 MatePad Pro 2025款（MRDI-W00） 12.2英寸 WIFI版 12GB+512GB 飞天青
2025款华为MatePad Pro12.2鸿蒙柔光版(MRDI-W10)12G+512G砚黑,-,-,华为平板 MatePad Pro 2025款 12.2英寸（MRDI-W10） 柔光版 WIFI版 12GB+512GB 砚黑
2025款华为MatePad Pro12.2鸿蒙柔光版(MRDI-W10)12G+512G宣白,-,-,华为平板 MatePad Pro 2025款 12.2英寸（MRDI-W10） 柔光版 WIFI版 12GB+512GB 宣白
2023款华为MateBook14(KLVG-16) i5-1340P(16+1T) 13代 锐炬Xe触屏深空灰,-,-,华为 MateBook 14 2023款 13代酷睿版 14英寸 i5-1340P 16GB+1TB 深空灰
2025款华为MateBook14(FLMH-16) InteUltra5-125H(16+1T) Linux深空灰,-,-,华为 MateBook 14 2025款 Linux版  14英寸 Ultra 5-125H 16G 1TB固态 集显 触屏版 深空灰
2025款华为MateBook14(FLMH-16) InteUltra5-125H(16+1T) Linux原野绿,-,-,华为 MateBook 14 2025款 Linux版  14英寸 Ultra 5-125H 16G 1TB固态 集显 触屏版 原野绿
2025款华为MateBook14(FLMH-16) InteUltra5-125H(16+1T) Linux皓月银,-,-,华为 MateBook 14 2025款 Linux版  14英寸 Ultra 5-125H 16G 1TB固态 集显 触屏版 皓月银
2025款华为MateBook14(FLMH-32) InteUltra5-125H(32+1T) Linux原野绿,-,-,华为 MateBook 14 2025款 Linux版  14英寸 Ultra 5-125H 32G 1TB固态 集显 触屏版 原野绿
OPPO Reno15c 12＋512极光蓝,-,-,OPPO Reno 15c 全网通5G版 12GB+512GB 极光蓝
2025款华为MateBook14(FLMH-32) InteUltra7-155H(32+1T) Linux深空灰,-,-,华为 MateBook 14 2025款 Linux版  14英寸 Ultra 7-155H 32G 1TB固态 集显 触屏版 深空灰
2025款华为MateBookXpro微绒典藏(VGHH-32)IntelUltra7 155H 32+1T Linux触屏晴蓝,-,-,华为 MateBook X Pro 2025款 Linux版 Ultra 7 155H 32G 1TB固态 触屏版 [VGHH-32] 晴蓝
2023款华为MateBookD14(MDG-16)Intel 13代  i5-1340P(16+512)Xe皓月银,-,-,华为 MateBook D 14 2023款 酷睿版 14英寸 i5-1340P 16GB+512GB 皓月银
2023款华为MateBookD14(MDG-16)Intel 13代  i7-1360P(16+1T)Xe皓月银,-,-,华为 MateBook D 14 2023款 酷睿版 14英寸 i7-1360P 16GB+1T 皓月银
2024款华为MateBookD14(MDG-32)Intel 13代  i5-13420H(16+1T)UHD深空灰,-,-,华为 MateBook D 14 2024款 酷睿版 14英寸 i5-13420H 16GB+1TB 深空灰
2025款华为MateBookD14(MDG-16)Intel 13代  i5-13420H(16+1T)UHD Linux版皓月银,-,-,华为 MateBook D 14 13代酷睿Linux版 14英寸 i5-13420H 16G 1TB固态 集显 皓月银
2025款华为MateBookD14(MDG-16)Intel 13代  i5-13420H(16+1T)UHD Linux版深空灰,-,-,华为 MateBook D 14 13代酷睿Linux版 14英寸 i5-13420H 16G 1TB固态 集显 深空灰
华为MATEBOOK擎云G540 GEN2-065 i5-1340P 16+1T深空灰,-,-,华为擎云 G540 Gen2 i5-1340P 16 1T 固态 集显 深空灰
2025款华为MateBookD16高能版 MCLG-16 i5-13500H(16+1T) Linux皓月银,-,-,华为 MateBook D 16 2025款 Linux版 16英寸 i5-13500H 16G 1TB固态 集显 高能版 皓月银
2022款华为MateBook16S CREF-16 i7-12700H(16+512)12代酷睿 锐炬XE触屏皓月银,-,-,华为 MateBook 16s 12代酷睿版 16英寸 Intel i7 16GB+512GB 皓月银
2022款华为MateBook16S CREF-16 i7-12700H(16+512)12代酷睿 锐炬XE触屏深空灰,-,-,华为 MateBook 16s 12代酷睿版 16英寸 Intel i7 16GB+512GB 深空灰
2025款华为MateBookGT14(ENZH-32) InteUltra5-125H(32+1T) Linux深空灰,-,-,华为 MateBook GT 14 2025款  Linux版 14.2英寸  Ultra 5-125H 32G 1TB固态 触屏版 深空灰
2025款华为MateBookGT14(ENZH-16) InteUltra5-125H(16+1T) Linux深空灰,-,-,华为 MateBook GT 14 2025款  Linux版 14.2英寸  Ultra 5-125H 16G 1TB固态 触屏版 深空灰
2025款华为MateBookGT14(ENZH-16) InteUltra5-125H(16+1T) Linux皓月银,-,-,华为 MateBook GT 14 2025款  Linux版 14.2英寸  Ultra 5-125H 16G 1TB固态 触屏版 皓月银
Hi MateBook D16 NICG-16(Intel Iris Xe-13500H Intel i5 Win11 16GB+1TB)深空灰,-,-,华为智选 Hi MateBook D 16 2024款 16英寸 i5-13500H 16GB 1TB集显 深空灰
Hi MateBook D16 NICG-16(Intel Iris Xe-13500H Intel i5 Win11 16GB+1TB)皓月银,-,-,华为智选 Hi MateBook D 16 2024款 16英寸 i5-13500H 16GB 1TB集显 皓月银
Hi MateBook D16 NICI-16(IntelCore5-210H Win11 16GB+1TB)皓月银,-,-,华为智选 Hi MateBook D 16 2025款  16英寸 酷睿5 210H 16G 1TB固态 集显 皓月银
Hi MateBook D16 NICI-16(IntelCore5-210H Win11 16GB+1TB)深空灰,-,-,华为智选 Hi MateBook D 16 2025款  16英寸 酷睿5 210H 16G 1TB固态 集显 深空灰
Hi MateBook D16 NICI-32(IntelCore5-210H Win11 32GB+1TB)皓月银,-,-,华为智选 Hi MateBook D 16 2025款  16英寸 酷睿5 210H 32G 1TB固态 集显 皓月银
Hi MateBook14 MASH-16 (Intel ARCGraUltra5 Win11 16GB+1TB)深空灰,严选 Matebook14 钢化膜,-,华为智选 Hi MateBook 14 2024款 酷睿Ultra版 14.2英寸 Ultra 5-125H 16GB 1TB集显 触屏版 深空灰
Hi MateBook14 MASC-24 (Intel ARCGraUltra5 225H Win11 24GB+1TB)极夜灰,严选 Matebook14 钢化膜,-,华为智选 Hi MateBook 14 2025款 2代酷睿Ultra版 14.2英寸 Ultra 5-225H 24G 1TB固态 集显 触屏版 圆形键盘 极夜灰
Hi MateBook14 MASI-16 (Intel ARCGraUltra5 225H Win11 16GB+1TB)极夜灰,严选 Matebook14 钢化膜,-,华为智选 Hi MateBook 14 2025款 2代酷睿Ultra版 14.2英寸 Ultra 5-225H 16G 1TB固态 集显 触屏版 方形键盘 极夜灰
Hi MateBook14 MNCAA-16 (AMD Radeon AMD Ryzen 7 Win11 16GB+1TB)极夜灰,严选 Matebook14 钢化膜,-,华为智选 Hi MateBook 14 2025款 锐龙版 14.2英寸 锐龙7 H 255 16GB 1TB 固态 集显 触屏版 方形键盘 极夜灰
Hi MateBook14 MNCAA-32 (AMD Radeon AMD Ryzen 7 Win11 32GB+1TB)极夜灰,严选 Matebook14 钢化膜,-,华为智选 Hi MateBook 14 2025款 锐龙版 14.2英寸 锐龙7 H 255 32GB 1TB 固态 集显 触屏版 方形键盘 极夜灰
Hi MateBook14 MNCAA-32 (AMD Radeon AMD Ryzen 7 Win11 32GB+1TB)晨曦金,严选 Matebook14 钢化膜,-,华为智选 Hi MateBook 14 2025款 锐龙版 14.2英寸 锐龙7 H 255 32GB 1TB 固态 集显 触屏版 圆形键盘 晨曦金
Hi MateBook D14 LYOI-16(IntelCore5-210H Win11 16GB+1TB)皓月银,-,-,华为智选 Hi MateBook D 14 2025款  14英寸 酷睿5 210H 16G 1TB固态 集显 皓月银
Hi MateBook D14 LYOI-16(IntelCore5-210H Win11 16GB+1TB)深空灰,-,-,华为智选 Hi MateBook D 14 2025款  14英寸 酷睿5 210H 16G 1TB固态 集显 深空灰
2025款华为MateBookPro 鸿蒙版HAD-W32柔光版 (32G+1T)触屏晴蓝,-,-,华为 MateBook Pro 2025款 14.2英寸 32G 1TB 集显 柔光触屏版 晴蓝
2021款华为智慧屏V75(HD75THAA) 4+64G,檀木健发梳,-,华为 智慧屏V系列（旧版） V75 75英寸 4+64GB 星际黑
华为智慧屏S3Pro 65"（HD65AJMS)4+64G曜石灰,-,-,华为 智慧屏S系列（旧版） S3 Pro 65 4GB+64GB 曜石灰
华为智慧屏S3Pro 86"（HD86AJMS)4+64G,檀木健发梳,-,华为 智慧屏S系列（旧版） S3 Pro 86 4GB+64GB 曜石灰
华为智慧屏Vision SE3 65"（HD65KUNA)2+32G星际黑,-,-,华为智慧屏Vision系列（旧版） SE3 2GB+32GB 65英寸
OPPO Reno15c 12＋512星光蝴蝶结,-,-,OPPO Reno 15c 全网通5G版 12GB+512GB 星光蝴蝶结
2025款华为智慧屏S6 75"（HD75KULX)4+128G星空灰,华为智慧屏 S6 85英寸,华为智慧屏 S6 85英寸 4GB+128GB 星空灰,华为智慧屏 S6 75英寸 4GB+128GB 星空灰
2025款华为智慧屏Vision 5SE 55"(HD55KULU) 3+64G星际黑,-,-,华为 Vision 智慧屏 5 SE 55英寸 3GB+64GB 星际黑
2025款华为智慧屏MateTV  75寸（HD75EDIL)(8+128)深空灰,-,-,华为智慧屏 MateTV 75英寸 8GB+128GB 深空灰
华为显示器AD80HW 23.8英寸黑色,-,-,6941487105134
华为PixLabB5 打印机（CV81Z-WDM）,檀木健发梳,-,华为 打印机 华为PixLabB5 打印机 白色
华为毕昇X1Max 打印机（CV81Z-WDMP）灰,檀木健发梳,-,华为毕昇 X1 Max 激光打印机(CV81Z-WDMp) 灰色
华为毕昇X1Max 打印机（CV81Z-WDMP）灰色,-,-,华为毕昇 X1 Max 激光打印机(CV81Z-WDMp) 灰色
华为Pocket2优享版 LEM-AL50(12+512)洛可可白,-,-,华为 Pocket 2 优享版 全网通 12GB+512GB 洛可可白
华为Pocket2优享版 LEM-AL50(12+512)雅黑,-,-,华为 Pocket 2 优享版 全网通 12GB+512GB 雅黑
华为Pocket2优享版 LEM-AL50(12+512)芋紫,-,-,华为 Pocket 2 优享版 全网通 12GB+512GB 芋紫
华为Pocket2优享版 LEM-AL50(12+512)大溪地灰,-,-,华为 Pocket 2 优享版 全网通 12GB+512GB 大溪地灰
华为Pocket2优享版 LEM-AL50(12+512)蓝梦,-,-,华为 Pocket 2 优享版 全网通 12GB+512GB 蓝梦
华为MateXT 三折叠(GRL-AL10)16+1T玄黑,-,-,华为 Mate XT 非凡大师  全网通版 16GB+1TB 玄黑
华为MateXT 三折叠(GRL-AL10)16+1T瑞红,-,-,华为 Mate XT 非凡大师  全网通版 16GB+1TB 瑞红
华为MateXTS 三折叠(GRL-AL20)16+1T瑞红,-,-,华为 Mate XTs 非凡大师 全网通版 16GB+1TB 瑞红
华为畅享70X(BRE-AL80)8+256雪域白,-,-,华为 畅享 70X 全网通版 256GB 雪域白
华为畅享70X(BRE-AL80)8+256湖光青,-,-,华为 畅享 70X 全网通版 256GB 湖光青
华为畅享70X(BRE-AL80)8+256曜金黑,-,-,华为 畅享 70X 全网通版 256GB 曜金黑
华为畅享70X(BRE-AL80)8+512曜金黑,-,-,华为 畅享 70X 全网通版 512GB 曜金黑
华为畅享70X(BRE-AL80)8+512湖光青,-,-,华为 畅享 70X 全网通版 512GB 湖光青
华为畅享70X(BRE-AL80)8+512雪域白,-,-,华为 畅享 70X 全网通版 512GB 雪域白
华为畅享70X活力(BRE-AL00b)8+512雪域白,-,-,华为 畅享 70X 活力版 全网通版 8GB+512GB 雪域白
华为畅享70X活力(BRE-AL00b)8+512曜金黑,-,-,华为 畅享 70X 活力版 全网通版 8GB+512GB 曜金黑
华为畅享70X活力(BRE-AL00b)8+512冰晶蓝,-,-,华为 畅享 70X 活力版 全网通版 8GB+512GB 冰晶蓝
华为畅享70X尊享版(BRE-AL80S)8+256流沙金,-,-,华为 畅享 70X 尊享版 全网通 256GB 流沙金
华为畅享70X尊享版(BRE-AL80S)8+256星海蓝,-,-,华为 畅享 70X 尊享版 全网通 256GB 星海蓝
华为畅享70X尊享版(BRE-AL80S)8+256曜金黑,-,-,华为 畅享 70X 尊享版 全网通 256GB 曜金黑
